Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address           Foreign Address         State      
tcp        0      0 localhost:domain        0.0.0.0:*               LISTEN     
tcp        0      0 localhost:ipp           0.0.0.0:*               LISTEN     
tcp        0      0 ishidor-Lenovo-id:44214 ec2-52-8-81-21.us:https ESTABLISHED
tcp        0      0 ishidor-Lenovo-id:35032 ec2-52-202-62-254:https ESTABLISHED
tcp        0      0 ishidor-Lenovo-id:59536 ec2-52-202-62-248:https ESTABLISHED
tcp        0      0 ishidor-Lenovo-id:48398 a23-5-34-110.depl:https ESTABLISHED
tcp       32      0 ishidor-Lenovo-id:39682 ec2-3-80-20-178.c:https CLOSE_WAIT 
tcp        0      0 ishidor-Lenovo-id:42408 ec2-18-228-99-199:https ESTABLISHED
tcp        0      0 ishidor-Lenovo-id:50322 104.16.24.34:https      ESTABLISHED
tcp        0      0 ishidor-Lenovo-id:46880 104.26.14.72:https      ESTABLISHED
tcp        0      0 ishidor-Lenovo-id:57182 pr-bh.pbp.vip.bf1:https ESTABLISHED
tcp        0      0 ishidor-Lenovo-id:50598 104.20.186.5:https      ESTABLISHED
tcp        0      0 ishidor-Lenovo-id:51888 a23-10-50-56.depl:https ESTABLISHED
tcp        0      0 ishidor-Lenovo-id:42564 ce-in-f188.1e100.n:5228 ESTABLISHED
tcp        0      0 ishidor-Lenovo-id:44216 ec2-52-8-81-21.us:https ESTABLISHED
tcp        0      0 ishidor-Lenovo-id:34844 104.36.115.111:https    ESTABLISHED
tcp        0      0 ishidor-Lenovo-id:45452 151.101.1.69:https      ESTABLISHED
tcp        0      0 ishidor-Lenovo-id:40988 ec2-3-80-20-190.c:https ESTABLISHED
tcp        0      0 ishidor-Lenovo-id:36392 151.101.194.49:https    ESTABLISHED
tcp        0      0 ishidor-Lenovo-id:41056 server-99-84-31-8:https ESTABLISHED
tcp        0      0 ishidor-Lenovo-id:38160 21.72.190.35.bc.g:https ESTABLISHED
tcp        0      0 ishidor-Lenovo-id:51876 198.22.162.81:https     ESTABLISHED
tcp        0      0 ishidor-Lenovo-id:60640 ec2-52-202-62-217:https ESTABLISHED
tcp6       0      0 ip6-localhost:ipp       [::]:*                  LISTEN     
